chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
TSLA,2021-06-18,650.0000,call,buy,2021-06-15T16:23:45.397852Z,debit,2.00000,limit,long_call,,1.02000000,2.00000
CRSR,2021-06-18,40.0000,call,sell,2021-06-14T17:59:46.774486Z,credit,1.00000,limit,,long_call,3.65000000,1.00000
CRSR,2021-06-18,40.0000,call,buy,2021-06-14T15:03:19.608315Z,debit,2.00000,limit,long_call,,1.88000000,2.00000
TSLA,2021-06-18,650.0000,call,buy,2021-06-11T17:31:56.747554Z,debit,1.00000,limit,long_call,,3.15000000,1.00000
TSLA,2021-06-18,650.0000,call,buy,2021-06-11T17:05:41.535548Z,debit,1.00000,limit,long_call,,2.90000000,1.00000
PYPL,2021-07-16,280.0000,call,buy,2021-06-11T15:21:33.891966Z,debit,1.00000,limit,long_call,,5.05000000,1.00000
SPY,2021-06-18,420.0000,put,buy,2021-06-11T15:01:05.733288Z,debit,2.00000,limit,long_put,,1.83000000,2.00000
CHWY,2021-07-16,100.0000,call,sell,2021-06-11T14:57:41.921009Z,credit,2.00000,limit,,long_call,0.41000000,2.00000
TDOC,2021-10-15,200.0000,call,sell,2021-06-11T14:57:31.502130Z,credit,1.00000,limit,,long_call,4.00000000,1.00000
PYPL,2021-06-11,270.0000,call,sell,2021-06-11T14:57:01.944912Z,credit,2.00000,limit,,long_call,0.57000000,2.00000
PYPL,2021-06-11,270.0000,call,sell,2021-06-10T19:59:36.216348Z,credit,3.00000,limit,,long_call,1.39000000,3.00000
PYPL,2021-06-11,270.0000,call,sell,2021-06-10T19:59:08.607432Z,credit,8.00000,limit,,long_call,1.38000000,8.00000
PYPL,2021-06-11,270.0000,call,sell,2021-06-10T18:18:17.494050Z,credit,5.00000,limit,,long_call,1.37000000,5.00000
PYPL,2021-06-11,270.0000,call,buy,2021-06-10T17:35:01.441940Z,debit,2.00000,limit,long_call,,0.91000000,2.00000
PYPL,2021-06-11,270.0000,call,buy,2021-06-10T17:34:05.615542Z,debit,2.00000,limit,long_call,,0.86000000,2.00000
PYPL,2021-06-11,270.0000,call,buy,2021-06-10T16:34:22.013785Z,debit,2.00000,limit,long_call,,0.98000000,2.00000
PYPL,2021-06-11,270.0000,call,buy,2021-06-10T16:32:38.652513Z,debit,1.00000,limit,long_call,,0.90000000,1.00000
PYPL,2021-06-11,270.0000,call,buy,2021-06-10T16:29:13.693546Z,debit,1.00000,limit,long_call,,0.91000000,1.00000
PYPL,2021-06-11,270.0000,call,buy,2021-06-10T16:28:46.080157Z,debit,2.00000,limit,long_call,,0.92000000,2.00000
PYPL,2021-06-11,270.0000,call,buy,2021-06-10T16:13:14.761376Z,debit,2.00000,limit,long_call,,1.16000000,2.00000
PYPL,2021-06-11,270.0000,call,buy,2021-06-10T16:03:14.439779Z,debit,1.00000,limit,long_call,,1.04000000,1.00000
PYPL,2021-06-11,270.0000,call,buy,2021-06-10T16:02:23.962302Z,debit,2.00000,limit,long_call,,0.99000000,2.00000
PYPL,2021-06-18,260.0000,call,sell,2021-06-10T16:02:11.770330Z,credit,1.00000,limit,,long_call,9.65000000,1.00000
PYPL,2021-06-11,270.0000,call,buy,2021-06-10T15:55:35.070467Z,debit,2.00000,limit,long_call,,1.22000000,2.00000
PYPL,2021-06-11,270.0000,call,buy,2021-06-10T15:51:23.929436Z,debit,1.00000,limit,long_call,,1.17000000,1.00000
PYPL,2021-07-16,280.0000,call,buy,2021-06-10T15:48:32.103801Z,debit,1.00000,limit,long_call,,4.50000000,1.00000
